Subject,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,marker
BtnAAB216B5,89,-2544,3262,-9,9,2, 
BtnAAB216B5,77,-2546,3267,-10,9,0, 
BtnAAB216B5,68,-2547,3284,-8,7,-1, 
BtnAAB216B5,60,-2547,3279,-6,2,1, 
BtnAAB216B5,62,-2543,3283,-5,-4,2, 
BtnAAB216B5,70,-2544,3258,-3,-9,3, 
BtnAAB216B5,66,-2532,3246,-1,-11,3, 
BtnAAB216B5,78,-2541,3242,0,-12,6, 
BtnAAB216B5,76,-2539,3233,0,-16,7, 
BtnAAB216B5,92,-2533,3222,-2,-21,9, 
BtnAAB216B5,113,-2527,3219,-3,-17,6, 
BtnAAB216B5,123,-2522,3219,-5,-13,5, 
BtnAAB216B5,115,-2521,3238,-8,-7,6, 
BtnAAB216B5,110,-2526,3247,-9,-3,7, 
BtnAAB216B5,99,-2530,3250,-9,-2,7, 
BtnAAB216B5,88,-2544,3257,-10,-8,8, 
BtnAAB216B5,92,-2547,3264,-11,-14,9, 
BtnAAB216B5,114,-2562,3258,-11,-18,7, 
BtnAAB216B5,120,-2565,3276,-10,-16,7, 
BtnAAB216B5,117,-2559,3250,-8,-12,11, 
BtnAAB216B5,124,-2550,3245,-6,-7,13, 
BtnAAB216B5,124,-2549,3238,-6,-2,13, 
BtnAAB216B5,118,-2556,3237,-6,0,12, 
BtnAAB216B5,121,-2544,3229,-6,-1,9, 
BtnAAB216B5,111,-2537,3236,-6,-2,9, 
BtnAAB216B5,102,-2541,3229,-7,-3,8, 
BtnAAB216B5,110,-2548,3240,-7,-3,7, 
BtnAAB216B5,109,-2550,3248,-5,-3,7, 
BtnAAB216B5,108,-2543,3245,-4,0,8, 
BtnAAB216B5,107,-2538,3243,-6,1,9, 
BtnAAB216B5,100,-2541,3268,-7,1,6, 
BtnAAB216B5,96,-2543,3256,-7,1,6, 
BtnAAB216B5,106,-2547,3254,-7,0,8, 
BtnAAB216B5,99,-2543,3261,-9,-1,8, 
BtnAAB216B5,101,-2544,3267,-7,-2,7, 
BtnAAB216B5,99,-2535,3247,-5,-2,6, 
BtnAAB216B5,96,-2534,3256,-5,-3,6, 
BtnAAB216B5,102,-2538,3245,-6,-5,6, 
BtnAAB216B5,100,-2530,3248,-6,-7,6, 
BtnAAB216B5,107,-2526,3255,-6,-7,7, 
BtnAAB216B5,115,-2539,3242,-7,-5,10, 
BtnAAB216B5,115,-2541,3250,-7,-5,9, 
BtnAAB216B5,110,-2548,3257,-6,-3,11, 
BtnAAB216B5,110,-2557,3250,-6,-3,10, 
