AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
919.0,1948.0,-757.0,1524.0,-10167.0,6491.0
1357.0,1812.0,-851.0,1716.0,-9554.0,6188.0
1978.0,1763.0,-953.0,1585.0,-8267.0,4996.0
2690.0,1832.0,-1104.0,1202.0,-7924.0,4123.0
3211.0,1807.0,-981.0,770.0,-7630.0,3218.0
2679.0,1585.0,-569.0,273.0,-7071.0,2245.0
1171.0,1325.0,-177.0,-332.0,-6084.0,1117.0
-783.0,1288.0,681.0,-1027.0,-4583.0,-183.0
-2729.0,1534.0,2107.0,-1715.0,-2418.0,-1460.0
-4695.0,2093.0,3962.0,-2321.0,391.0,-2580.0
-5932.0,2207.0,5922.0,-2846.0,3334.0,-3617.0
-4909.0,1088.0,7668.0,-3389.0,6020.0,-4793.0
-1719.0,681.0,2677.0,-3750.0,8191.0,-6270.0
-1704.0,2825.0,-3890.0,-3964.0,9538.0,-7823.0
-6229.0,2778.0,-8415.0,-4259.0,10661.0,-8954.0
-13834.0,-894.0,-5789.0,-4848.0,11966.0,-9320.0
-18225.0,-1813.0,-2969.0,-4797.0,13758.0,-8737.0
-18172.0,838.0,-2118.0,-2336.0,16298.0,-7545.0
-13165.0,1531.0,-1278.0,2979.0,18670.0,-6352.0
-8291.0,1914.0,-827.0,-700.0,3084.0,1618.0
-5313.0,2187.0,-732.0,-897.0,-4195.0,3438.0
-329.0,2119.0,871.0,-1320.0,-8065.0,5203.0
-577.0,1928.0,921.0,-995.0,-9894.0,6757.0
-561.0,1861.0,895.0,-698.0,-10656.0,7525.0
-307.0,1949.0,618.0,-438.0,-10784.0,7837.0
-109.0,2017.0,422.0,-516.0,-10033.0,7549.0
-102.0,2002.0,417.0,-417.0,-8459.0,6944.0
141.0,1782.0,402.0,65.0,-7292.0,6397.0
502.0,1594.0,263.0,560.0,-6756.0,6020.0
941.0,1577.0,35.0,990.0,-6622.0,5787.0
1560.0,1558.0,-158.0,1285.0,-6637.0,5579.0
2031.0,1630.0,-313.0,1324.0,-6573.0,5115.0
2408.0,1692.0,-406.0,1181.0,-6563.0,4415.0
2541.0,1744.0,-431.0,964.0,-6659.0,3738.0
2415.0,1715.0,-435.0,872.0,-6797.0,3085.0
2228.0,1730.0,-609.0,771.0,-6667.0,2406.0
2096.0,1740.0,-644.0,-69.0,-4120.0,-30.0
1901.0,1720.0,-513.0,-480.0,-2878.0,-996.0
1095.0,1645.0,-128.0,-951.0,-1623.0,-1967.0
-4422.0,2035.0,2622.0,-1476.0,-126.0,-2881.0
-5996.0,2268.0,5113.0,-2081.0,1470.0,-3779.0
-6255.0,1408.0,7662.0,-2636.0,3094.0,-4704.0
-4534.0,514.0,7222.0,-3203.0,4623.0,-5776.0
-830.0,1026.0,2890.0,-3684.0,5999.0,-6966.0
-559.0,3586.0,-4396.0,-4348.0,7482.0,-8121.0
-5293.0,2252.0,-6960.0,-5327.0,9855.0,-8923.0
-12621.0,-2789.0,-5060.0,-6375.0,13013.0,-9278.0
-17933.0,-1593.0,-4750.0,-5234.0,14592.0,-8959.0
-19095.0,1078.0,-2716.0,-1090.0,16763.0,-7844.0
-12899.0,1421.0,-1360.0,4419.0,19216.0,-7502.0
-7329.0,1288.0,-555.0,4922.0,18958.0,-7424.0
-4748.0,1985.0,-412.0,-755.0,16459.0,-5032.0
-2487.0,2827.0,-391.0,-2507.0,11241.0,-734.0
-1185.0,2684.0,479.0,-482.0,2269.0,1780.0
-830.0,2119.0,1086.0,-189.0,-10943.0,4621.0
-909.0,1660.0,1278.0,499.0,-11351.0,5626.0
-926.0,1687.0,1112.0,307.0,-10461.0,6338.0
-1255.0,2196.0,1179.0,-275.0,-9249.0,6196.0
-1122.0,2175.0,728.0,-262.0,-7602.0,5653.0
-892.0,1993.0,473.0,285.0,-6031.0,5419.0
-575.0,1789.0,264.0,815.0,-5272.0,5464.0
-230.0,1710.0,60.0,1226.0,-5024.0,5390.0
372.0,1668.0,-100.0,1490.0,-5079.0,5295.0
1146.0,1768.0,-150.0,1537.0,-5289.0,5166.0
1871.0,1964.0,-263.0,1420.0,-5484.0,4823.0
2227.0,2132.0,-320.0,1145.0,-5730.0,4280.0
2501.0,2179.0,-367.0,1044.0,-6174.0,3571.0
2649.0,2177.0,-359.0,948.0,-6309.0,2768.0
2422.0,2130.0,-418.0,804.0,-5981.0,1999.0
1484.0,2057.0,-391.0,653.0,-5315.0,1248.0
-324.0,2017.0,82.0,299.0,-4232.0,362.0
-2387.0,2068.0,924.0,-199.0,-2784.0,-594.0
-4197.0,2414.0,2680.0,-1771.0,3588.0,-3416.0
-5394.0,2450.0,5252.0,-2316.0,5757.0,-4650.0
-4251.0,1820.0,6696.0,-2957.0,7356.0,-6183.0
-2322.0,1563.0,-4919.0,-3626.0,8756.0,-7695.0
-9148.0,-1306.0,-6857.0,-4460.0,10783.0,-8611.0
-17135.0,-2213.0,-7264.0,-4707.0,12401.0,-8704.0
-21267.0,-28.0,-5012.0,-2746.0,13986.0,-8040.0
-15822.0,1065.0,-2369.0,1376.0,17242.0,-7356.0
-8689.0,906.0,-991.0,4264.0,19984.0,-7811.0
-5216.0,2015.0,-729.0,1633.0,20060.0,-6493.0
-2870.0,2813.0,-893.0,-1442.0,15695.0,-2364.0
-1737.0,2736.0,-629.0,-1622.0,6875.0,1065.0
-1750.0,2072.0,-84.0,-1015.0,-1202.0,1995.0
-1502.0,1564.0,266.0,-1273.0,-7247.0,2651.0
-1326.0,1520.0,785.0,-753.0,-10086.0,4169.0
-1100.0,1722.0,1256.0,96.0,-10214.0,5609.0
-1011.0,1891.0,1501.0,78.0,-9298.0,6267.0
-694.0,2016.0,1429.0,-428.0,-7917.0,6129.0
-244.0,2087.0,974.0,147.0,-6533.0,5611.0
-250.0,2088.0,641.0,706.0,-6951.0,5557.0
-225.0,1972.0,300.0,1107.0,-7243.0,5447.0
389.0,1813.0,78.0,1370.0,-7179.0,5372.0
878.0,1900.0,215.0,1484.0,-7283.0,5199.0
1442.0,2098.0,-92.0,1545.0,-7622.0,4991.0
2105.0,2212.0,-371.0,1701.0,-7763.0,4668.0
2864.0,2282.0,-608.0,1868.0,-8192.0,4140.0
3484.0,2262.0,-962.0,1893.0,-8385.0,3588.0
3436.0,2034.0,-1084.0,1821.0,-8171.0,3059.0
2752.0,1774.0,-1004.0,1481.0,-8063.0,2387.0
1377.0,1646.0,-758.0,745.0,-7167.0,1435.0
-903.0,1667.0,-262.0,-148.0,-5513.0,221.0
-3148.0,1838.0,913.0,-928.0,-3311.0,-1061.0
-5324.0,2215.0,2930.0,-1677.0,-612.0,-2291.0
-6895.0,2205.0,5694.0,-2229.0,2108.0,-3430.0
-6205.0,849.0,8383.0,-2616.0,4531.0,-4540.0
-2745.0,169.0,7876.0,-3005.0,6254.0,-5858.0
1777.0,1754.0,1937.0,-6139.0,10589.0,-10032.0
2127.0,3155.0,-5016.0,-7186.0,13669.0,-10024.0
-5301.0,870.0,-11185.0,-5270.0,16030.0,-9341.0
-18621.0,1555.0,-1176.0,59.0,19632.0,-8360.0
-9865.0,488.0,671.0,5377.0,23355.0,-8689.0
-5737.0,1991.0,-194.0,2907.0,23012.0,-7605.0
-2096.0,3339.0,-796.0,-3734.0,15663.0,-2996.0
548.0,3605.0,-185.0,-4718.0,7093.0,3503.0
866.0,2737.0,853.0,-935.0,-182.0,4187.0
126.0,1982.0,1307.0,-1301.0,-8891.0,2466.0
-656.0,1633.0,1835.0,-1346.0,-13074.0,3564.0
-880.0,1750.0,1888.0,472.0,-13361.0,5209.0
-583.0,2076.0,1502.0,746.0,-13099.0,6068.0
-237.0,2313.0,928.0,-47.0,-12285.0,5971.0
-38.0,2321.0,314.0,-414.0,-10391.0,5073.0
