AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-4129.0,1597.0,-1327.0,-5.0,-8.0,-571.0
-4116.0,1550.0,-1214.0,-292.0,-498.0,-541.0
-4377.0,1583.0,-1011.0,-539.0,-1009.0,-464.0
-4339.0,1517.0,-906.0,-658.0,-1370.0,-362.0
-4334.0,1473.0,-924.0,-693.0,-1483.0,-260.0
-4460.0,1448.0,-1126.0,-655.0,-1489.0,-167.0
-4778.0,1387.0,-1355.0,-603.0,-1530.0,-88.0
-5146.0,1429.0,-1446.0,-564.0,-1668.0,-14.0
-5373.0,1391.0,-1606.0,-568.0,-1836.0,62.0
-5567.0,1406.0,-1846.0,-582.0,-1986.0,159.0
-5605.0,1432.0,-1890.0,-592.0,-2095.0,237.0
-5583.0,1303.0,-1914.0,-652.0,-2258.0,282.0
-5560.0,1114.0,-1628.0,-783.0,-2811.0,232.0
-5344.0,893.0,-1361.0,-1029.0,-3957.0,169.0
-5010.0,732.0,-1418.0,-1348.0,-5722.0,171.0
-4678.0,652.0,-1116.0,-1707.0,-7829.0,189.0
-4029.0,670.0,-1122.0,-2157.0,-10121.0,139.0
-3301.0,764.0,-1064.0,-2753.0,-17308.0,211.0
-2308.0,1120.0,-1343.0,-2594.0,-19848.0,172.0
-1113.0,1567.0,-1243.0,-2291.0,-22450.0,-104.0
4895.0,1435.0,2788.0,-1740.0,-25280.0,-243.0
6116.0,1474.0,2988.0,-1021.0,-28074.0,-61.0
6362.0,1251.0,2553.0,-279.0,-30058.0,657.0
4751.0,443.0,1824.0,21.0,-30407.0,1603.0
2127.0,285.0,1514.0,-471.0,-28391.0,2160.0
-634.0,461.0,2154.0,-1254.0,-24824.0,2031.0
-2686.0,618.0,3754.0,-1276.0,-19325.0,1834.0
-2408.0,824.0,4835.0,-1067.0,-11263.0,1798.0
-714.0,752.0,4122.0,-1660.0,-2252.0,1346.0
1153.0,688.0,3475.0,-1710.0,3433.0,587.0
2267.0,560.0,3526.0,-956.0,4440.0,185.0
2448.0,718.0,3548.0,-436.0,3360.0,291.0
2051.0,1086.0,3372.0,-394.0,1927.0,651.0
1326.0,1288.0,3637.0,-604.0,-1401.0,846.0
720.0,1120.0,3999.0,-353.0,-1057.0,20.0
385.0,891.0,4039.0,-107.0,225.0,-144.0
743.0,1125.0,3831.0,-343.0,953.0,-209.0
955.0,1112.0,3849.0,-511.0,1099.0,-239.0
999.0,1079.0,3854.0,-425.0,865.0,-288.0
857.0,1082.0,3971.0,-283.0,569.0,-280.0
692.0,1095.0,3996.0,-148.0,307.0,-253.0
663.0,1116.0,3992.0,-104.0,160.0,-262.0
746.0,1162.0,3966.0,-166.0,281.0,-265.0
868.0,1144.0,3970.0,-185.0,554.0,-253.0
993.0,1121.0,4001.0,-132.0,880.0,-236.0
1127.0,1105.0,4068.0,-39.0,1131.0,-243.0
1301.0,1104.0,4134.0,45.0,1274.0,-242.0
1480.0,1060.0,4105.0,84.0,1376.0,-231.0
1412.0,947.0,3834.0,81.0,1582.0,-209.0
