AccelerometerX,AccelerometerY,AccelerometerZ,Subject
-1240,-602,3964,1
-1250,-595,3997,1
-1203,-587,3995,1
-1208,-593,3970,1
-1213,-578,3952,1
-1210,-610,3967,1
-1209,-606,3983,1
-1198,-599,3950,1
-1209,-600,3973,1
-1184,-587,3973,1
-1216,-589,3974,1
-1221,-601,3957,1
-1232,-594,3959,1
-1223,-598,3981,1
-1252,-608,3956,1
-1237,-618,3972,1
-1205,-602,3991,1
-1233,-637,3959,1
-1233,-640,3932,1
-1201,-633,3973,1
-1197,-616,3966,1
-1210,-619,4009,1
-1205,-607,3981,1
-1187,-619,3967,1
-1209,-621,3969,1
-1205,-614,3978,1
-1210,-627,3990,1
-1229,-631,4013,1
-1243,-610,3974,1
-1229,-611,3968,1
-1236,-631,3978,1
-1220,-596,4002,1
-1193,-594,3982,1
-1186,-583,3989,1
-1209,-613,3991,1
-1257,-634,3980,1
-1244,-627,3975,1
-1226,-620,3982,1
-1228,-598,3997,1
-1165,-591,3990,1
-1165,-584,3978,1
-1194,-605,3978,1
-1226,-621,3979,1
-1215,-606,3992,1
-1199,-599,3977,1
-1141,-588,3949,1
-1174,-579,3933,1
-1204,-592,3955,1
-1210,-599,3946,1
-1178,-591,3975,1
-1174,-568,3930,1
-1203,-597,3995,1
-1231,-609,3962,1
-1222,-600,3947,1
-1194,-599,3938,1
-1195,-587,3967,1
-1184,-575,3981,1
-1194,-604,4002,1
-1218,-620,3972,1
-1228,-637,3970,1
-1196,-616,3990,1
-1184,-608,3991,1
-1206,-605,3947,1
-1210,-619,3990,1
-1205,-609,3972,1
-1187,-621,3976,1
-1185,-607,3979,1
-1187,-606,4002,1
-1212,-621,4002,1
-1222,-607,3994,1
-1207,-607,3970,1
-1203,-597,3995,1
-1198,-610,4006,1
-1195,-611,4012,1
-1193,-641,3987,1
-1180,-624,3994,1
-1204,-608,3974,1
-1209,-638,3975,1
-1184,-620,3953,1
-1194,-633,3999,1
-1197,-658,3957,1
-1181,-635,3941,1
-1190,-643,3928,1
-1182,-649,3975,1
-1183,-636,3971,1
-1157,-634,3981,1
-1163,-644,3940,1
-1153,-643,3958,1
-1157,-632,4003,1
-1166,-629,4019,1
